วันที่,รหัสหวย,รางวัลทั้งหมด,4ตัวบน,3ตัวบน,2ตัวล่าง
2026-05-03,MAGNUM_4D,"{'lottoType': 'MAGNUM_4D', 'A1': '0405', 'B1': '2299', 'C1': '1712', 'special': ['8454', '3857', '8174', '4226', '9544', '3954', '0849', '0538', '4640', '8390'], 'consolation': ['1391', '6426', '3720', '3279', '0729', '9685', '3505', '9296', '9291', '3730']}",,,
2026-05-03,LV_R59,"{'lottoType': 'LV_R59', 'mainNumber': '297790', 'B4': '2977', 'B3': '977', 'B2': '77', 'L2': '90', 'T4': '2779', 'T3': '779', 'L3': []}",,,
2026-05-03,GRAND_DRAGON_4D,"{'lottoType': 'GRAND_DRAGON_4D', 'A1': '9201', 'B1': '9035', 'C1': '1679', 'special': ['0695', '2638', '9574', '8617', '4572', '3977', '7554', '4325', '2762', '1976'], 'consolation': ['6725', '7169', '4707', '6382', '7209', '6605', '4139', '7296', '9546', '4356']}",,,
2026-05-03,LV_R60,"{'lottoType': 'LV_R60', 'mainNumber': '805361', 'B4': '8053', 'B3': '053', 'B2': '53', 'L2': '61', 'T4': '0358', 'T3': '035', 'L3': []}",,,
2026-05-03,LASTRVIP,"{'lottoType': 'LASTRVIP', 'mainNumber': '27738', 'B4': '7738', 'B3': '738', 'B2': '38', 'L3': [], 'L2': '27'}",,,
2026-05-03,LV_R63,"{'lottoType': 'LV_R63', 'mainNumber': '902510', 'B4': '9025', 'B3': '025', 'B2': '25', 'L2': '10', 'T4': '0259', 'T3': '025', 'L3': []}",,,
2026-05-03,LV_R64,"{'lottoType': 'LV_R64', 'mainNumber': '388184', 'B4': '3881', 'B3': '881', 'B2': '81', 'L2': '84', 'T4': '1388', 'T3': '188', 'L3': []}",,,
2026-05-03,VNVIP,"{'lottoType': 'VNVIP', 'mainNumber': '4212', 'B4': '4212', 'B3': '212', 'B2': '12', 'L3': [], 'L2': '13'}",,,
2026-05-03,LV_R61,"{'lottoType': 'LV_R61', 'mainNumber': '902469', 'B4': '9024', 'B3': '024', 'B2': '24', 'L2': '69', 'T4': '0249', 'T3': '024', 'L3': []}",,,
2026-05-03,LAVIP,"{'lottoType': 'LAVIP', 'mainNumber': '52694', 'B4': '2694', 'B3': '694', 'B2': '94', 'L3': [], 'L2': '26'}",,,
